a	a1
gột	G ot6
gớm	G 7m5
gờ	G 72
gờm	G 7m2
gờn	G 7n2
gở	G 73
gởi	G 7j3
gỡ	G 74
gợi	G 7j6
gợn	G 7n6
gợt	G 7t6
gụ	G u6
gục	G uk6
gụi	G uj6
gụt	G ut6
gừ	G M2
gừng	G MNG2
gửi	G Mj3
h       h at5
ha	h a1
hai	h aj1
ham	h am1
han	h an1
hang	h aNG1
hanh	h EXNJ1
hao	h aw1
hau	h aXw1
hay	h aXj1
he	h E1
hec	h Ek1
hem	h Em1
hen	h En1
heo	h Ew1
hi	h i1
hia	h ie1
him	h im1
hiu	h iw1
hiên	h ien1
hiêng	h ieNG1
hiếm	h iem5
hiến	h ien5
hiếng	h ieNG5
hiếp	h iep5
hiếu	h iew5
hiềm	h iem2
hiền	h ien2
hiểm	h iem3
hiển	h ien3
hiểu	h iew3
hiện	h ien6
hiệp	h iep6
hiệu	h iew6
ho	h O1
hoa	h wa1
hoan	h wan1
hoang	h waNG1
hoay	h waXj1
hoe	h wE1
hoen	h wEn1
hoi	h Oj1
hom	h Om1
hon	h On1
hong	h OXNG1
hoà	h wa2
hoài	h waj2
hoàn	h wan2
hoàng	h waNG2
hoành	h wEXNJ2
hoá	h wa5
hoác	h wak5
hoán	h wan5
hoánh	h wEXNJ5
hoáy	h waXj5
hoãn	h wan4
hoét	h wEt5
hoăm	h waXm1
hoăng	h waXNG1
hoạ	h wa6
hoạch	h wEXk6
hoại	h waj6
hoạn	h wan6
hoạnh	h wEXNJ6
hoạt	h wat6
hoả	h wa3
hoải	h waj3
hoảng	h waNG3
hoảnh	h wEXNJ3
hoắc	h waXk5
hoắm	h waXm5
hoắt	h waXt5
hoằn	h waXn2
hoẳn	h waXn3
hoẵng	h waXNG4
hoặc	h waXk6
hoẹt	h wEt6
hoẻn	h wEn3
hu	h u1
hua	h uo1
hum	h um1
hun	h un1
hung	h uNG1
huy	h wi1
huynh	h wiNJ1
huyên	h wien1
huyết	h wiet5
huyền	h wien2
huyễn	h wien4
huyện	h wien6
huyệt	h wiet6
huân	h w7Xn1
huê	h we1
huênh	h weNJ1
huý	h wi5
huých	h wik5
huýt	h wit5
huơ	h w71
huấn	h w7Xn5
huế	h we5
huếch	h wek5
huề	h we2
huệ	h we6
huống	h uoNG5
huỳnh	h wiNJ2
huỵch	h wik6
huỷ	h wi3
hà	h a2
hài	h aj2
hàm	h am2
hàn	h an2
hàng	h aNG2
hành	h EXNJ2
hào	h aw2
hàu	h aXw2
há	h a5
hác	h ak5
hách	h EXk5
hái	h aj5
hám	h am5
hán	h an5
háng	h aNG5
hánh	h EXNJ5
háo	h aw5
hát	h at5
háu	h aXw5
háy	h aXj5
hâm	h 7Xm1
hân	h 7Xn1
hâu	h 7Xw1
hây	h 7Xj1
hãi	h aj4
hãm	h am4
hãn	h an4
hãng	h aNG4
hãnh	h EXNJ4
hão	h aw4
hãy	h aXj4
hè	h E2
hèm	h Em2
hèn	h En2
hèo	h Ew2
hé	h E5
héc	h Ek5
héo	h Ew5
hét	h Et5
hê	h e1
hên	h en1
hênh	h eNJ1
hì	h i2
hình	h iNJ2
hí	h i5
hích	h ik5
híp	h ip5
hít	h it5
hò	h O2
hòa	h wa2
hòe	h wE2
hòi	h Oj2
hòm	h Om2
hòn	h On2
hòng	h OXNG2
hóa	h wa5
hóc	h OXk5
hói	h Oj5
hóm	h Om5
hóng	h OXNG5
hóp	h Op5
hót	h Ot5
hô	h o1
hôi	h oj1
hôm	h om1
hôn	h on1
hông	h oNG1
hõm	h Om4
hù	h u2
hùa	h uo2
hùm	h um2
hùn	h un2
hùng	h uNG2
hú	h u5
húc	h uk5
húi	h uj5
húng	h uNG5
húp	h up5
hút	h ut5
húy	h wi5
hăm	h aXm1
hăng	h aXNG1
hĩm	h im4
hĩnh	h iNJ4
hũ	h u4
hũm	h um4
hơ	h 71
hơi	h 7j1
hơn	h 7n1
hư	h M1
hưng	h MNG1
hưu	h Mw1
hương	h M7NG1
hươu	h M7w1
hước	h M7k5
hướm	h M7m5
hướng	h M7NG5
hường	h M7NG2
hưởng	h M7NG3
hượm	h M7m6
hạ	h a6
hạc	h ak6
hạch	h EXk6
hại	h aj6
hạm	h am6
hạn	h an6
hạng	h aNG6
hạnh	h EXNJ6
hạo	h aw6
hạp	h ap6
hạt	h at6
hả	h a3
hải	h aj3
hảm	h am3
hảng	h aNG3
hảo	h aw3
hấn	h 7Xn5
hấng	h 7XNG5
hấp	h 7Xp5
hất	h 7Xt5
hấu	h 7Xw5
hấy	h 7Xj5
hầm	h 7Xm2
hầu	h 7Xw2
hầy	h 7Xj2
hẩm	h 7Xm3
hẩng	h 7XNG3
hẩu	h 7Xw3
hẩy	h 7Xj3
hẫng	h 7XNG4
hẫu	h 7Xw4
hậm	h 7Xm6
hận	h 7Xn6
hập	h 7Xp6
hậu	h 7Xw6
hắc	h aXk5
hắn	h aXn5
hắng	h aXNG5
hắt	h aXt5
hằm	h aXm2
hằn	h aXn2
hằng	h aXNG2
hẳn	h aXn3
hẵng	h aXNG4
hặc	h aXk6
hẹ	h E6
hẹm	h Em6
hẹn	h En6
hẹp	h Ep6
hẻm	h Em3
hẻo	h Ew3
hếch	h ek5
hến	h en5
hết	h et5
hếu	h ew5
hề	h e2
hềnh	h eNJ2
hể	h e3
hển	h en3
hểnh	h eNJ3
hễ	h e4
hệ	h e6
hệch	h ek6
hệt	h et6
hỉ	h i3
hỉnh	h iNJ3
hịch	h ik6
họ	h O6
họa	h wa6
học	h OXk6
họe	h wE6
họng	h OXNG6
họp	h Op6
hỏa	h wa3
hỏi	h Oj3
hỏm	h Om3
hỏn	h On3
hỏng	h OXNG3
hố	h o5
hốc	h ok5
hối	h oj5
hống	h oNG5
hốt	h ot5
hồ	h o2
hồi	h oj2
hồn	h on2
hồng	h oNG2
hổ	h o3
hổi	h oj3
hổm	h om3
hổn	h on3
hổng	h oNG3
hỗ	h o4
hỗn	h on4
hỗng	h oNG4
hộ	h o6
hộc	h ok6
hội	h oj6
hộn	h on6
hộp	h op6
hột	h ot6
hớ	h 75
hớm	h 7m5
hớn	h 7n5
hớp	h 7p5
hớt	h 7t5
hờ	h 72
hời	h 7j2
hờn	h 7n2
hở	h 73
hởi	h 7j3
hỡi	h 7j4
hợi	h 7j6
hợm	h 7m6
hợp	h 7p6
hợt	h 7t6
hục	h uk6
hụi	h uj6
hụm	h um6
hụp	h up6
hụt	h ut6
hủ	h u3
hủi	h uj3
hủn	h un3
hủy	h wi3
hứ	h M5
hứa	h M75
hức	h Mk5
hứng	h MNG5
hừ	h M2
hừm	h Mm2
hừng	h MNG2
hử	h M3
hửng	h MNG3
hữ	h M4
hững	h MNG4
hữu	h Mw4
hự	h M6
hực	h Mk6
hựu	h Mw6
i	i1
im	im1
in	in1
inh	iNJ1
iu	iw1
ka	k a1
ke	k E1
kem	k Em1
ken	k En1
keng	k ENG1
keo	k Ew1
kha	X a1
khai	X aj1
kham	X am1
khan	X an1
khang	X aNG1
khanh	X EXNJ1
khao	X aw1
khau	X aXw1
khay	X aXj1
khe	X E1
khem	X Em1
khen	X En1
kheo	X Ew1
khi	X i1
khin	X in1
khinh	X iNJ1
khiu	X iw1
khiêm	X iem1
khiên	X ien1
khiêng	X ieNG1
khiêu	X iew1
khiếm	X iem5
khiến	X ien5
khiếp	X iep5
khiết	X iet5
khiếu	X iew5
khiền	X ien2
khiển	X ien3
khiễng	X ieNG4
kho	X O1
khoa	X wa1
khoai	X waj1
khoan	X wan1
khoang	X waNG1
khoanh	X wEXNJ1
khoe	X wE1
khoeo	X wEw1
khom	X Om1
khoào	X waw2
khoá	X wa5
khoác	X wak5
khoái	X waj5
khoán	X wan5
khoáng	X waNG5
khoát	X wat5
khoáy	X waXj5
khoèo	X wEw2
khoé	X wE5
khoét	X wEt5
khoăm	X waXm1
khoăn	X waXn1
khoả	X wa3
khoải	X waj3
khoản	X wan3
khoảng	X waNG3
khoảnh	X wEXNJ3
khoắm	X waXm5
khoắn	X waXn5
khoắng	X waXNG5
khoắt	X waXt5
khoằm	X waXm2
khoẻ	X wE3
khu	X u1
khua	X uo1
khui	X uj1
khum	X um1
khung	X uNG1
khuy	X wi1
khuya	X wie1
khuynh	X wiNJ1
khuyên	X wien1
khuyến	X wien5
khuyết	X wiet5
khuyển	X wien3
khuân	X w7Xn1
khuâng	X w7XNG1
khuây	X w7Xj1
khuê	X we1
khuôn	X uon1
khuông	X uoNG1
khuơ	X w71
khuất	X w7Xt5
khuấy	X w7Xj5
khuẩn	X w7Xn3
khuắng	X waXNG5
khuếch	X wek5
khuỳnh	X wiNJ2
khuỵu	X wiw6
khuỷu	X wiw3
khà	X a2
khàn	X an2
khàng	X aNG2
khá	X a5
khác	X ak5
khách	X EXk5
khái	X aj5
khám	X am5
khán	X an5
kháng	X aNG5
khánh	X EXNJ5
kháo	X aw5
kháp	X ap5
khát	X at5
kháu	X aXw5
kháy	X aXj5
khâm	X 7Xm1
khân	X 7Xn1
khâu	X 7Xw1
khè	X E2
khèn	X En2
khèo	X Ew2
khé	X E5
khén	X En5
khéo	X Ew5
khép	X Ep5
khét	X Et5
khê	X e1
khênh	X eNJ1
khêu	X ew1
khì	X i2
khìn	X in2
khí	X i5
khía	X ie5
khích	X ik5
khít	X it5
khíu	X iw5
khò	X O2
khòm	X Om2
khòng	X OXNG2
khó	X O5
khóa	X wa5
khóc	X OXk5
khóe	X wE5
khói	X Oj5
khóm	X Om5
khô	X o1
khôi	X oj1
khôn	X on1
không	X oNG1
khù	X u2
khùng	X uNG2
khú	X u5
khúc	X uk5
khúm	X um5
khăm	X aXm1
khăn	X aXn1
khăng	X aXNG1
khĩnh	X iNJ4
khơ	X 71
khơi	X 7j1
khư	X M1
khươi	X M7j1
khươm	X M7m1
khươn	X M7n1
khương	X M7NG1
khước	X M7k5
khướt	X M7t5
khướu	X M7w5
khạc	X ak6
khạng	X aNG6
khạo	X aw6
khả	X a3
khải	X aj3
khảm	X am3
khản	X an3
khảng	X aNG3
khảnh	X EXNJ3
khảo	X aw3
khảy	X aXj3
khấc	X 7Xk5
khấm	X 7Xm5
khấn	X 7Xn5
khấp	X 7Xp5
khất	X 7Xt5
khấu	X 7Xw5
khẩn	X 7Xn3
khẩu	X 7Xw3
khẩy	X 7Xj3
khập	X 7Xp6
khật	X 7Xt6
khắc	X aXk5
khắm	X aXm5
khắng	X aXNG5
khắp	X aXp5
khắt	X aXt5
khằng	X aXNG2
khẳm	X aXm3
khẳn	X aXn3
khẳng	X aXNG3
khặc	X aXk6
khẹc	X Ek6
khẻ	X E3
khẻo	X Ew3
khẽ	X E4
khế	X e5
khề	X e2
khều	X ew2
khểnh	X eNJ3
khễnh	X eNJ4
khệ	X e6
khệnh	X eNJ6
khỉ	X i3
khỉnh	X iNJ3
khịa	X ie6
khịt	X it6
khọm	X Om6
khỏe	X wE3
khỏi	X Oj3
khỏng	X OXNG3
khố	X o5
khốc	X ok5
khối	X oj5
khốn	X on5
khống	X oNG5
khổ	X o3
khổn	X on3
khổng	X oNG3
khớ	X 75
khớp	X 7p5
khờ	X 72
khởi	X 7j3
khụ	X u6
khục	X uk6
khụt	X ut6
khủ	X u3
khủng	X uNG3
khứ	X M5
khứa	X M75
khứng	X MNG5
khứu	X Mw5
khừ	X M2
khừng	X MNG2
khử	X M3
khựng	X MNG6
ki	k i1
kia	k ie1
kim	k im1
kinh	k iNJ1
kiêm	k iem1
kiên	k ien1
kiêng	k ieNG1
kiêu	k iew1
kiếm	k iem5
kiến	k ien5
kiếp	k iep5
kiết	k iet5
kiếu	k iew5
kiềm	k iem2
kiền	k ien2
kiềng	k ieNG2
kiều	k iew2
kiểm	k iem3
kiểng	k ieNG3
kiểu	k iew3
kiễng	k ieNG4
kiệm	k iem6
kiện	k ien6
kiệt	k iet6
kiệu	k iew6
kè	k E2
kèm	k Em2
kèn	k En2
kèo	k Ew2
ké	k E5
kéc	k Ek5
kém	k Em5
kén	k En5
kéo	k Ew5
kép	k Ep5
két	k Et5
kê	k e1
kênh	k eNJ1
kêu	k ew1
kì	k i2
kìa	k ie2
kìm	k im2
kình	k iNJ2
kí	k i5
kích	k ik5
kín	k in5
kính	k iNJ5
kíp	k ip5
kít	k it5
ký	k i5
kĩ	k i4
kẹ	k E6
kẹn	k En6
kẹo	k Ew6
kẹp	k Ep6
kẹt	k Et6
kẻ	k E3
kẻng	k ENG3
kẻo	k Ew3
kẽ	k E4
kẽm	k Em4
kẽo	k Ew4
kế	k e5
kếch	k ek5
kếp	k ep5
kết	k et5
kề	k e2
kềm	k em2
kền	k en2
kềnh	k eNJ2
kều	k ew2
kể	k e3
kệ	k e6
kệch	k ek6
kệnh	k eNJ6
kỉ	k i3
kỉnh	k iNJ3
kị	k i6
kịch	k ik6
kịp	k ip6
kịt	k it6
kỳ	k i2
kỵ	k i6
kỷ	k i3
kỹ	k i4
la	l a1
lai	l aj1
lam	l am1
lan	l an1
lang	l aNG1
lanh	l EXNJ1
lao	l aw1
lau	l aXw1
lay	l aXj1
le	l E1
lem	l Em1
len	l En1
leng	l ENG1
leo	l Ew1
li	l i1
lia	l ie1
libero  l i1 b e1 zr o1
lim	l im1
lin	l in1
linh	l iNJ1
liu	l iw1
liêm	l iem1
liên	l ien1
liêng	l ieNG1
liêu	l iew1
liếc	l iek5
liếm	l iem5
liến	l ien5
liếng	l ieNG5
liếp	l iep5
liềm	l iem2
liền	l ien2
liều	l iew2
liển	l ien3
liểng	l ieNG3
liễm	l iem4
liễn	l ien4
liễu	l iew4
liệm	l iem6
liệng	l ieNG6
liệp	l iep6
liệt	l iet6
liệu	l iew6
lo	l O1
loa	l wa1
loai	l waj1
loan	l wan1
loang	l waNG1
loanh	l wEXNJ1
loay	l waXj1
loe	l wE1
loen	l wEn1
loi	l Oj1
lom	l Om1
lon	l On1
long	l OXNG1
loong	l ONG1
loà	l wa2
loài	l waj2
loàn	l wan2
loàng	l waNG2
loá	l wa5
loáng	l waNG5
loát	l wat5
loã	l wa4
loãng	l waNG4
loè	l wE2
loé	l wE5
loét	l wEt5
loăng	l waXNG1
loạc	l wak6
loại	l waj6
loạn	l wan6
loạng	l waNG6
loạt	l wat6
loả	l wa3
loảng	l waNG3
loắt	l waXt5
loằng	l waXNG2
loẹt	l wEt6
lu	l u1
lua	l uo1
lui	l uj1
lum	l um1
lung	l uNG1
luya	l wie1
luyến	l wien5
luyện	l wien6
luân	l w7Xn1
luôm	l uom1
luôn	l uon1
luông	l uoNG1
luýnh	l wiNJ5
luấn	l w7Xn5
luẩn	l w7Xn3
luận	l w7Xn6
luật	l w7Xt6
luốc	l uok5
luống	l uoNG5
luốt	l uot5
luồn	l uon2
luồng	l uoNG2
luỗng	l uoNG4
luộc	l uok6
luộm	l uom6
luỵ	l wi6
luỹ	l wi4
ly	l i1
là	l a2
lài	l aj2
làm	l am2
làn	l an2
làng	l aNG2
lành	l EXNJ2
lào	l aw2
làu	l aXw2
lá	l a5
lác	l ak5
lách	l EXk5
lái	l aj5
lán	l an5
láng	l aNG5
lánh	l EXNJ5
láo	l aw5
láp	l ap5
lát	l at5
láu	l aXw5
láy	l aXj5
lâm	l 7Xm1
lân	l 7Xn1
lâng	l 7XNG1
lâu	l 7Xw1
lây	l 7Xj1
lã	l a4
lãi	l aj4
lãm	l am4
lãn	l an4
lãng	l aNG4
lãnh	l EXNJ4
lão	l aw4
lè	l E2
lèm	l Em2
lèn	l En2
lèo	l Ew2
lé	l E5
léc	l Ek5
lém	l Em5
lén	l En5
léng	l ENG5
léo	l Ew5
lép	l Ep5
lét	l Et5
lê	l e1
lên	l en1
lênh	l eNJ1
lêu	l ew1
lì	l i2
lìa	l ie2
lìm	l im2
lình	l iNJ2
lìu	l iw2
lí	l i5
lính	l iNJ5
líp	l ip5
lít	l it5
líu	l iw5
lò	l O2
lòa	l wa2
lòe	l wE2
lòi	l Oj2
lòm	l Om2
lòn	l On2
lòng	l OXNG2
ló	l O5
lóc	l OXk5
lóe	l wE5
lói	l Oj5
lóm	l Om5
lóng	l OXNG5
lóp	l Op5
lót	l Ot5
lô	l o1
lôi	l oj1
lôm	l om1
lông	l oNG1
lõ	l O4
lõi	l Oj4
lõm	l Om4
lõng	l OXNG4
lù	l u2
lùa	l uo2
lùi	l uj2
lùm	l um2
lùn	l un2
lùng	l uNG2
lú	l u5
lúa	l uo5
lúc	l uk5
lúi	l uj5
lúm	l um5
lún	l un5
lúng	l uNG5
lúp	l up5
lút	l ut5
lý	l i5
lăm	l aXm1
lăn	l aXn1
lăng	l aXNG1
lĩnh	l iNJ4
lũ	l u4
lũi	l uj4
lũm	l um4
lũn	l un4
lũng	l uNG4
lũy	l wi4
lơ	l 71
lơi	l 7j1
lơn	l 7n1
lư	l M1
lưng	l MNG1
lưu	l Mw1
lươm	l M7m1
lươn	l M7n1
lương	l M7NG1
lưới	l M7j5
lướng	l M7NG5
lướt	l M7t5
lười	l M7j2
lườm	l M7m2
lườn	l M7n2
lường	l M7NG2
lưỡi	l M7j4
lưỡng	l M7NG4
lược	l M7k6
lượm	l M7m6
lượn	l M7n6
lượng	l M7NG6
lượt	l M7t6
lạ	l a6
lạc	l ak6
lạch	l EXk6
lại	l aj6
lạm	l am6
lạn	l an6
lạng	l aNG6
lạnh	l EXNJ6
lạo	l aw6
lạp	l ap6
lạt	l at6
lạu	l aXw6
lạy	l aXj6
lả	l a3
lải	l aj3
lảm	l am3
lảng	l aNG3
lảnh	l EXNJ3
lảo	l aw3
lảu	l aXw3
lảy	l aXj3
lấc	l 7Xk5
lấm	l 7Xm5
lấn	l 7Xn5
lấp	l 7Xp5
lất	l 7Xt5
lấy	l 7Xj5
lầm	l 7Xm2
lần	l 7Xn2
lầu	l 7Xw2
lầy	l 7Xj2
lẩm	l 7Xm3
lẩn	l 7Xn3
lẩu	l 7Xw3
lẩy	l 7Xj3
lẫm	l 7Xm4
lẫn	l 7Xn4
lẫy	l 7Xj4
lận	l 7Xn6
lập	l 7Xp6
lật	l 7Xt6
lậu	l 7Xw6
lắc	l aXk5
lắm	l aXm5
lắng	l aXNG5
lắp	l aXp5
lắt	l aXt5
lằm	l aXm2
lằn	l aXn2
lằng	l aXNG2
lẳm	l aXm3
lẳn	l aXn3
lẳng	l aXNG3
lẵng	l aXNG4
lặc	l aXk6
lặm	l aXm6
lặn	l aXn6
lặng	l aXNG6
lặp	l aXp6
lặt	l aXt6
lẹ	l E6
lẹm	l Em6
lẹn	l En6
lẹo	l Ew6
lẹp	l Ep6
lẹt	l Et6
lẻ	l E3
lẻm	l Em3
lẻn	l En3
lẻng	l ENG3
lẻo	l Ew3
lẽ	l E4
lẽn	l En4
lẽo	l Ew4
lếch	l ek5
lết	l et5
lếu	l ew5
lề	l e2
lềnh	l eNJ2
lều	l ew2
lể	l e3
lểu	l ew3
lễ	l e4
lễu	l ew4
lệ	l e6
lệch	l ek6
lệnh	l eNJ6
lỉm	l im3
lỉnh	l iNJ3
lỉu	l iw3
lị	l i6
lịa	l ie6
lịch	l ik6
lịm	l im6
lịnh	l iNJ6
lịu	l iw6
lọ	l O6
lọc	l OXk6
lọi	l Oj6
lọm	l Om6
lọn	l On6
lọng	l OXNG6
lọt	l Ot6
lỏi	l Oj3
lỏm	l Om3
lỏn	l On3
lỏng	l OXNG3
lố	l o5
lốc	l ok5
lối	l oj5
lốm	l om5
lốn	l on5
lốp	l op5
lốt	l ot5
lồ	l o2
lồi	l oj2
lồm	l om2
lồn	l on2
lồng	l oNG2
lổ	l o3
lổm	l om3
lổn	l on3
lổng	l oNG3
lỗ	l o4
lỗi	l oj4
lộ	l o6
lộc	l ok6
lội	l oj6
lộm	l om6
lộn	l on6
lộng	l oNG6
lộp	l op6
lột	l ot6
lớ	l 75
lới	l 7j5
lớn	l 7n5
lớp	l 7p5
lớt	l 7t5
lờ	l 72
lời	l 7j2
lờm	l 7m2
lờn	l 7n2
lở	l 73
lởi	l 7j3
lởm	l 7m3
lởn	l 7n3
lỡ	l 74
lỡm	l 7m4
lợ	l 76
lợi	l 7j6
lợm	l 7m6
lợn	l 7n6
lợp	l 7p6
lợt	l 7t6
lụ	l u6
lụa	l uo6
lục	l uk6
lụi	l uj6
lụn	l un6
lụng	l uNG6
lụp	l up6
lụt	l ut6
lụy	l wi6
lủ	l u3
lủi	l uj3
lủm	l um3
lủn	l un3
lủng	l uNG3
lứa	l M75
lức	l Mk5
lứt	l Mt5
lừ	l M2
lừa	l M72
lừng	l MNG2
lử	l M3
lửa	l M73
lửng	l MNG3
lữ	l M4
lữa	l M74
lững	l MNG4
lự	l M6
lựa	l M76
lực	l Mk6
lựng	l MNG6
lựu	l Mw6
ma	m a1
mai	m aj1
man	m an1
mang	m aNG1
manh	m EXNJ1
mao	m aw1
mau	m aXw1
may	m aXj1
me	m E1
mem	m Em1
men	m En1
meo	m Ew1
mi	m i1
mia	m ie1
mim	m im1
min	m in1
minh	m iNJ1
miu	m iw1
miên	m ien1
miêu	m iew1
miến	m ien5
miếng	m ieNG5
miết	m iet5
miếu	m iew5
miền	m ien2
miều	m iew2
miễn	m ien4
miễu	m iew4
miện	m ien6
miệng	m ieNG6
miệt	m iet6
mo	m O1
moay	m waXj1
moi	m Oj1
mom	m Om1
mon	m On1
mong	m OXNG1
moóc	m Ok5
mu	m u1
mua	m uo1
mui	m uj1
mum	m um1
mun	m un1
mung	m uNG1
muôi	m uoj1
muôn	m uon1
muông	m uoNG1
muối	m uoj5
muốn	m uon5
muống	m uoNG5
muốt	m uot5
muồi	m uoj2
muỗi	m uoj4
muỗm	m uom4
muỗng	m uoNG4
muội	m uoj6
muộn	m uon6
mà	m a2
mài	m aj2
màn	m an2
màng	m aNG2
mành	m EXNJ2
mào	m aw2
màu	m aXw2
mày	m aXj2
má	m a5
mác	m ak5
mách	m EXk5
mái	m aj5
mán	m an5
máng	m aNG5
mánh	m EXNJ5
máo	m aw5
mát	m at5
máu	m aXw5
máy	m aXj5
mâm	m 7Xm1
mân	m 7Xn1
mâng	m 7XNG1
mâu	m 7Xw1
mây	m 7Xj1
mã	m a4
mãi	m aj4
mãn	m an4
mãng	m aNG4
mãnh	m EXNJ4
mão	m aw4
mè	m E2
mèm	m Em2
mèn	m En2
mèng	m ENG2
mèo	m Ew2
mé	m E5
mém	m Em5
mén	m En5
méo	m Ew5
mép	m Ep5
mét	m Et5
mê	m e1
mên	m en1
mênh	m eNJ1
mì	m i2
mìn	m in2
mình	m iNJ2
mí	m i5
mía	m ie5
mích	m ik5
mím	m im5
míp	m ip5
mít	m it5
míu	m iw5
mò	m O2
mòi	m Oj2
mòm	m Om2
mòn	m On2
mòng	m OXNG2
mó	m O5
móc	m OXk5
mói	m Oj5
móm	m Om5
món	m On5
móng	m OXNG5
móp	m Op5
mót	m Ot5
mô	m o1
môi	m oj1
môm	m om1
môn	m on1
mông	m oNG1
mõ	m O4
mõm	m Om4
mù	m u2
mùa	m uo2
mùi	m uj2
mùn	m un2
mùng	m uNG2
mú	m u5
múa	m uo5
múc	m uk5
múi	m uj5
múm	m um5
mún	m un5
múp	m up5
mút	m ut5
măm	m aXm1
măn	m aXn1
măng	m aXNG1
mĩ	m i4
mĩm	m im4
mũ	m u4
mũi	m uj4
mũm	m um4
mơ	m 71
mơi	m 7j1
mơn	m 7n1
mưa	m M71
mưu	m Mw1
mươi	m M7j1
mướn	m M7n5
mướp	m M7p5
mướt	m M7t5
mười	m M7j2
mường	m M7NG2
mượn	m M7n6
mượt	m M7t6
mạ	m a6
mạc	m ak6
mạch	m EXk6
mại	m aj6
mạn	m an6
mạng	m aNG6
mạnh	m EXNJ6
mạo	m aw6
mạp	m ap6
mạt	m at6
mạy	m aXj6
mả	m a3
mải	m aj3
mảng	m aNG3
mảnh	m EXNJ3
mảy	m aXj3
mấn	m 7Xn5
mấp	m 7Xp5
mất	m 7Xt5
mấu	m 7Xw5
mấy	m 7Xj5
mầm	m 7Xm2
mần	m 7Xn2
mầng	m 7XNG2
mầu	m 7Xw2
mẩm	m 7Xm3
mẩn	m 7Xn3
mẩy	m 7Xj3
mẫm	m 7Xm4
mẫn	m 7Xn4
mẫu	m 7Xw4
mận	m 7Xn6
mập	m 7Xp6
mật	m 7Xt6
mậu	m 7Xw6
mắc	m aXk5
mắm	m aXm5
mắn	m aXn5
mắng	m aXNG5
mắt	m aXt5
mằn	m aXn2
mẳn	m aXn3
mặc	m aXk6
mặn	m aXn6
mặt	m aXt6
mẹ	m E6
mẹo	m Ew6
mẹp	m Ep6
mẹt	m Et6
mẻ	m E3
mẻo	m Ew3
mẽ	m E4
mế	m e5
mếch	m ek5
mến	m en5
mếu	m ew5
mề	m e2
mềm	m em2
mền	m en2
mễ	m e4
mệ	m e6
mệnh	m eNJ6
mệt	m et6
mỉ	m i3
mỉa	m ie3
mỉm	m im3
mị	m i6
mịch	m ik6
mịn	m in6
mịnh	m iNJ6
mịt	m it6
mọc	m OXk6
mọi	m Oj6
mọn	m On6
mọng	m OXNG6
mọt	m Ot6
mỏ	m O3
mỏi	m Oj3
mỏm	m Om3
mỏng	m OXNG3
mố	m o5
mốc	m ok5
mối	m oj5
mống	m oNG5
mốt	m ot5
mồ	m o2
mồi	m oj2
mồm	m om2
mồn	m on2
mồng	m oNG2
mổ	m o3
mổng	m oNG3
mỗ	m o4
mỗi	m oj4
mộ	m o6
mộc	m ok6
mộng	m oNG6
một	m ot6
mớ	m 75
mới	m 7j5
mớm	m 7m5
mớp	m 7p5
mờ	m 72
mời	m 7j2
mờm	m 7m2
mở	m 73
mởn	m 7n3
mỡ	m 74
mụ	m u6
mục	m uk6
mụi	m uj6
mụn	m un6
mụp	m up6
mủ	m u3
mủi	m uj3
mủm	m um3
mủn	m un3
mủng	m uNG3
mứa	m M75
mức	m Mk5
mứt	m Mt5
mứu	m Mw5
mừng	m MNG2
mửa	m M73
mựa	m M76
mực	m Mk6
mỹ	m i4
na	n a1
nai	n aj1
nam	n am1
nan	n an1
nang	n aNG1
nanh	n EXNJ1
nao	n aw1
nau	n aXw1
nay	n aXj1
ne	n E1
nem	n Em1
nen	n En1
neo	n Ew1
nga	NG a1
ngai	NG aj1
ngam	NG am1
ngan	NG an1
ngang	NG aNG1
ngao	NG aw1
ngau	NG aXw1
ngay	NG aXj1
nghe	NG E1
nghi	NG i1
nghinh	NG iNJ1
nghiu	NG iw1
nghiêm	NG iem1
nghiên	NG ien1
nghiêng	NG ieNG1
nghiêu	NG iew1
nghiến	NG ien5
nghiền	NG ien2
nghiễm	NG iem4
nghiệm	NG iem6
nghiện	NG ien6
nghiệp	NG iep6
nghiệt	NG iet6
nghè	NG E2
nghèn	NG En2
nghèo	NG Ew2
nghé	NG E5
nghén	NG En5
nghét	NG Et5
nghê	NG e1
nghênh	NG eNJ1
nghêu	NG ew1
nghì	NG i2
nghìn	NG in2
nghí	NG i5
nghía	NG ie5
nghít	NG it5
nghĩ	NG i4
nghĩa	NG ie4
nghĩnh	NG iNJ4
nghẹ	NG E6
nghẹn	NG En6
nghẹo	NG Ew6
nghẹt	NG Et6
nghẻo	NG Ew3
nghẽn	NG En4
nghẽo	NG Ew4
nghếch	NG ek5
nghề	NG e2
nghều	NG ew2
nghển	NG en3
nghểnh	NG eNJ3
nghễ	NG e4
nghễnh	NG eNJ4
nghễu	NG ew4
nghệ	NG e6
nghệch	NG ek6
nghện	NG en6
nghỉ	NG i3
nghỉm	NG im3
nghỉn	NG in3
nghỉnh	NG iNJ3
nghỉu	NG iw3
nghị	NG i6
nghịch	NG ik6
nghịt	NG it6
nghịu	NG iw6
ngoa	NG wa1
ngoan	NG wan1
ngoang	NG waNG1
ngoao	NG waw1
ngoay	NG waXj1
ngoe	NG wE1
ngoi	NG Oj1
ngon	NG On1
ngong	NG OXNG1
